image_url,question_text,optionA,optionB,optionC,optionD,optionE,optionF,optionG,optionH,optionI,optionJ
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,"In the month with highest petty theft crime rate, what was the second lowest type of crime?",Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,Which type of theft decreased the most from July to August?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,"Which decreased more from May to June, burglary cimes or stolen vehicles crimes?",Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,Which month had the 3rd highest petty theft rate?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,Which month has the least amount of trespassing?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,Which type of theft decreased the most from October to November?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,"Which increased more from September to October, burglary or petty theft?",Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,Which month had the most amount of petty theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,Which month had the 2nd least amount of grand theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,"Which month had the most petty theft, July or October?",February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,Which month had the highest vandalism occurances?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,Which month had the least amount of grand theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,"Which month had the least amount of theft overall, February or August?",February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,Which month had the 2nd most amount of petty theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,Which month had the least amount of petty theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,What crime occured less than petty theft crimes but more than stolen vehicle crimes in October?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,Which type of theft increased the most from June to July?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,Which type of theft decreased the most from May to June?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,Which month had the most amount of grand theft?,February,March,April,May,June,July,August,September,October,November
